Skill,Frequency
It,1058
AR,392
Experience,341
C,315
We,261
Benefits,250
You,235
Walmart,202
AI,105
Google,101
What,87
That,87
PTO,77
Design,68
ET,60
Wal,58
Option,56
Additional compensation,49
Preferred Qualifications,47
java,47
Mart,46
Live,45
People,45
Skills,42
Software Engineering,41
Nigeria,35
Position,34
Team,34
Employer,32
python,28
Eligibility requirements,28
Health benefits,26
H1B,26
CEO,24
Paid time,23
Other benefits,23
Electrical Engineering,22
Financial benefits,22
react,22
Sam's Club,22
Git,21
Ability,21
sql,19
UI,19
Computer Information Systems,18
kubernetes,18
Master's degree,18
Sunnyvale,17
Walmart Global Tech,17
javascript,17
Minimum education,16
azure,16
docker,16
United States,16
Implement,16
The ideal candidate,15
Position Summary,14
https://one.walmart.com/notices,14
The amount,14
PPTO,14
Military Leave Pay,14
Better U,14
$158K,14
Sam's Club facilities,14
2.2 AA standards,14
Programs,14
English Language Learning,14
Tuition,14
Customer Service,14
WCAG,14
America,14
Masters,14
Walmart’s accessibility standards,14
Good Morning,13
ML accelerators,13
Google Photos,13
Top Company News,13
the Day,13
Jobs,13
1 AM,13
Google Maps,13
Goodbye,13
Stock equity incentives,12
USA,12
Equal Opportunity Employer,12
Salary Range,12
Regional Pay Zone,12
California,12
$25M 1998-11-01 Angel,12
RPZ,12
Jenkins,11
Alphabet,11
Our team,11
4.4 Google,11
Internet-related services,11
Choice,11
USA 10001+ employees,11
Andy Bechtolsheim,11
World News,11
Silicon Mountain View,10
Total Sponsorships,10
Distribution,10
Different Job Fields,10
Trends,10
Knowledge,10
The above information,9
Sam’s Club,9
Experience designing,9
this job Trends,9
Walmart.com,9
Kafka,9
Other great perks,9
Collaborate,9
typescript,9
Engineering,8
Support,8
Working,8
Responsibilities,8
Bentonville,8
$26.1M Key Investors,8
Labor,8
Jest,8
US Department,8
Sponsorship Google,8
the ML accelerator,8
ML accelerator c-models,8
ML accelerator development,8
Splunk,7
Recommended Liked,7
Spring Boot,7
Dev,7
CA 94086 Duties,7
Liked,7
graphql,7
Your AI Copilot,7
External,7
PhD,7
(C/C++,7
CI/CD,7
Applied,7
Mockito,7
Scala,7
gcp,7
NoSQL,7
GitHub,6
Master’s degree,6
Enzyme,6
Lead,6
Cosmos DB,6
JUnit,6
Required Bachelor's degree,6
html,6
css,6
Qualification,6
Preferred Master's degree,6
Supply Chain,6
Company Google Glassdoor,6
REST APIs,5
CI/CD pipelines,5
APIs,5
Cassandra,5
Inc.,5
LinkedIn,5
"Walmart, Inc.",5
Redux,5
Java Spring Boot,5
JIRA,5
Hibernate,5
Profile,5
Monitor,4
iOS,4
the U.S.,4
Discovery,4
Acts,4
NJ,4
Seeks,4
CSS3,4
Strong knowledge,4
webpack,4
Imagine,4
Build,4
Who,4
Strong expertise,4
Perks,4
Grafana,4
the Walmart experience,4
Architect,4
API,4
Strong Knowledge,4
This approach,4
Jobs Resume Profile,4
Global Tech,4
Spring Data,4
A career,4
KITT,3
"15,000+ software engineers",3
A disciplined approach,3
Communication,3
Service,3
Familiarity,3
+,3
DevOps,3
JS,3
A constant desire,3
Troubleshoot,3
the Customer/Member,3
Business,3
Confluence,3
CA 84 applicants,3
DB,3
React JS,3
CI/CD pipeline,3
NodeJS,3
Works,3
Golang,3
SonarQube,3
Strong understanding,3
Silicon jobs,3
Our campuses,3
Experience building,3
Prometheus,3
Walmart U.S.,3
Focus areas,3
crunchbase Orion,3
Java8,3
Prod,3
JMeter,3
BDD,2
Page Object Model,2
Concord,2
"Process-driven, understanding",2
Integrity,2
Builds,2
Qualifications Experience,2
Apache libraries,2
R&D,2
MySQL,2
Nigeria Google Maps,2
One.Walmart.com/Health,2
4.4 Glassdoor,2
External 0 JOBS,2
Maintaining,2
Monitoring,2
less,2
Quantum Metric,2
Global Tech Imagine,2
RESTful/GraphQL API,2
Kafka Clusters,2
React-Testing Library,2
Spring Framework,2
Product,2
Debug,2
babel,2
Any,2
Postman,2
RESTful web services,2
SQL databases,2
Spark,2
Information Technology,2
Azure SQL,2
Technologies,2
Scrum,2
Automation,2
JavaScript/TypeScript,2
Network,2
postgresql,2
Transportation,2
Inventory,2
React ES6,2
the Team,2
Spring boot,2
Open Stack,2
2+ years,2
Pub/Sub,2
Kafka clusters,2
Agile development environment,2
Exposure,2
Inbound Smoothing,2
Cosmos,2
Chai,2
Team Guidance,2
Sam’s Club customers,2
California US-08479,2
‎ Sunnyvale,2
Walmart's continued success,2
Maven,2
New York/New Jersey,2
Arkansas,2
Our global headquarters,2
the United States,2
Walmart’s culture,2
Excellent problem-solving skills,2
Sellers,2
next.js,2
Walmart Plus,2
Business Support,2
Assists,2
Project Management,2
Most clubs,2
Our company's success,2
​​​Future Ways,2
Oracle,2
ElasticSearch,2
Immigration sponsorship,2
Cloud Technologies,2
The average club,2
Oversees complex projects,2
Builds relationships,2
Stakeholder Collaboration,2
Product Management,2
Expert Guidance,2
Participates,2
Issue Resolution,2
angular,2
Walmart's technology solutions,2
Container technologies,2
Proficiency,2
Design patterns,2
Provide,2
Our mission,2
RESTful APIs,2
SQL Server,2
Big Data technologies,2
Go,2
Strong experience,2
Scan,2
Superior analytical skills,2
3+ years,2
CICD pipelines,2
Your expertise,2
proprietary Design,1
Emerging Tech,1
Engage,1
Our financial benefits,1
structured/unstructured Data sets,1
managing Kafka topics,1
Apache frameworks,1
Our ideal candidate,1
Spring,1
Document software designs,1
NVM,1
ReactJS,1
API interfaces,1
New Business,1
WebDriverIO,1
Experience writing end,1
Linux operation system,1
React.js,1
Single Page Applications,1
Communicate progress,1
Splunk logs,1
Debug errors,1
Restful/GraphQL APIs,1
UX designers,1
Sinon,1
Dataproc,1
Test Frameworks,1
HTML5,1
Analyze,1
ScalaTest,1
Testify,1
PyUnit,1
Influence,1
the Electrode,1
API calls,1
REST API endpoints,1
Context API,1
Redux Sagas,1
Virtual DOM,1
ElectrodeX,1
DB Stack,1
Reporting,1
MS Word,1
Measurement,1
React test utilities,1
Concord workflow server,1
JavaScript library,1
Ad Targeting,1
JavaScript/Typescript,1
NPM,1
front-end library React,1
Research,1
Scrum methodology,1
Looper CI/CD,1
Draw.io,1
UI/UX tool Figma,1
sprint planning Evangelise,1
Hooks,1
CodeGate,1
React Testing Library,1
Spotlight,1
Dynatrace,1
ELK Stack,1
Bash scripting,1
Podman,1
Optimize,1
Eclipse,1
OneOps,1
PyCharm,1
Walmart’s digital customers,1
VSCode,1
Software Engineer III,1
Tracking,1
Automation Testing Frameworks,1
Test Suites,1
Stubs/Mocks,1
Selenium,1
TestNG,1
Mocha,1
Defect Reporting,1
*   Work,1
Ad Manager Automation,1
Splunk dashboard,1
Use JMeter,1
Demos,1
Business stakeholders,1
Strong development experience,1
an OO language,1
No-SQL databases,1
Develop Unit,1
Build data communication,1
SDLC,1
*   Participate,1
USA Mountain View,1
CA Mountain View,1
Silicon Google,1
Club Pickup,1
CI/CD tools,1
Your Qualifications,1
A bachelor’s degree,1
Industrial experience,1
NoSQL DBs,1
"e.g., Cosmos",1
serverless Apps,1
Se J St,1
Ste A,1
: *   Design,1
REST API services,1
Automated deployment experience,1
‎ Bellevue,1
Washington US-11075,1
managing AD groups,1
Cloud Services,1
IntelliJ,1
IDEs,1
Cloud services,1
SauceLabs,1
Charles,1
troubleshooting APIs,1
Experience testing,1
BDD/TDD test automation,1
Node JS backend,1
TypeScript programming languages,1
JavaScript ES6 standards,1
Automate test cases,1
Kitt deployment,1
JavaScript frameworks,1
ServiceNow,1
", WA Duties",1
Hadoop cluster,1
Designs,1
Tomcat,1
Communicate,1
Gather,1
Define roadmaps,1
Linux environments,1
Unix,1
Windows,1
Web Applications,1
Shell,1
Experience scripting,1
Containerizes,1
Ruby Python,1
Gathers metrics,1
the CI/CD pipeline,1
Deploying code,1
Google Cloud Platform,1
Agile,1
Flask/Django,1
the US,1
Operation Research,1
AI&ML,1
Flow Optimizations,1
Open-Source technologies CI/CD,1
GPC,1
Cloud technologies,1
Pub Sub,1
Service Oriented architecture,1
Java SQL,1
Tech skills,1
public cloud Ability,1
"Kafka, azure pubsub",1
SQL/NoSQL DB,1
Kanban,1
CI/CD flows,1
RESTful Microservices Experience,1
CI/CD Experience,1
our Walmart+ team,1
Basic Qualifications,1
Sam Walton,1
SRE,1
Yugabyte,1
Chaos Engineering,1
Hands,1
Experience packaging applications,1
Telemetry,1
RESTful Services,1
Java/J2EE,1
Test Driven Development,1
Nginx,1
CoreJS,1
Working knowledge,1
OpenStack Work,1
e.g. Solr,1
Mem Cache,1
Relevant experience,1
Advanced knowledge,1
Focus,1
GCP Strong Expertise,1
Object Oriented,1
Functional Programming,1
Design Patterns Experience,1
Identify bottlenecks,1
Perform POC,1
frameworks Work,1
Java open-source technologies,1
Overview,1
vue.js,1
Benefits.. Benefits,1
Expert level knowledge,1
SpringBoot,1
MQTT,1
Architectures,1
MVVM,1
High availability,1
RESTful Microservices,1
Se Moberly Ln,1
"Flexible, hybrid work",1
Nice,1
Enthusiasm,1
production Participate,1
production Create,1
Devops culture,1
CICD process,1
the Cloud architecture,1
Responsibilities Research,1
Documentation,1
Collaboration,1
Delivers,1
a Java developer,1
Walmart's coding standards,1
Strong proficiency,1
"(e.g., Azure",1
DevOps tools,1
Walmart's technology stack,1
the Walmart+ team,1
Excellence,1
Walmart’s goal,1
A curiosity,1
the Walmart values,1
Maintains,1
the Individual,1
Computer Vision,1
Android AI,1
Preferred Qualifications Experience,1
Problem Solving,1
Self-Motivation,1
Solr,1
Casandra,1
PHP,1
(CI/CD,1
SLAs,1
Service Level Agreements,1
Airflow,1
Leverage open-source technologies,1
scalable WFS Application,1
Walmart Fulfillment Services,1
JPA,1
Stream API,1
Lambda Expression,1
Functional Interfaces,1
Java 8 features,1
tool Kafka,1
C++,1
The platform,1
XMatters,1
Lenses,1
This product,1
Walmart’s services,1
Analyzes business problems,1
MVC architecture,1
Experience containerizing applications,1
Azure Cloud Experience,1
an Agile environment,1
Apache Pulsar,1
Apache Kafka,1
Spring Boot framework,1
Document,1
flask,1
django,1
debug Java Applications,1
a DEVOPS Environment,1
React testing library,1
UX/UI designers,1
React-Query tools,1
Axios,1
Troubleshoot front-end issues,1
Cypress,1
Optimize front-end code,1
context API,1
MobX,1
Python Experience,1
GitOps,1
Continuous Integration/Continuous Delivery,1
Design application architecture,1
intensive CRUD operations,1
NextJS,1
Bachelor’s degree,1
Mentor junior engineers,1
Fix prioritized issues,1
Craft code,1
Microservices,1
Linux,1
Agile/Scrum,1
XML,1
JSON,1
Junit,1
Experience designing applications,1
Partner-Ops,1
Program Management,1
QA,1
Message brokers,1
Design applications,1
Design unit tests,1
No-SQL,1
Restful API,1
Tachyons,1
Git version control,1
Spring MVC,1
the Java SDK,1
Cosmos DB containers,1
Selenium Cucumber,1
PowerMockito,1
Implement application,1
Log4j,1
Lombok,1
Project Reactor,1
a Kafka cluster,1
Jira,1
Reactor Non-blocking programming,1
Spring Kafka,1
node.js,1
Support Business requests,1
Chrome Dev tools,1
Web accessibility,1
Web vitals,1
backend APIs,1
this job Distribution,1
